title	Problem:	Implication:	Workaround:	Status:
  IO_SMI Indication in SMRAM State Save Area May Be Set Incorrectly  	  The IO_SMI bit in SMRAM’s location 7FA4h is set to “1” by the processor to indicate that a System Management Interrupt (SMI) occurred as the result of executing an instruction that reads from an I/O port. Due to this erratum, the IO_SMI bit may be incorrectly set by: • An SMI that is pending while a lower priority event is executing • A REP I/O read • A I/O read that redirects to MWAIT  	  SMM handlers may get a false IO_SMI indication.  	 The SMM handler has to evaluate the saved context to determine if the SMI was triggered by an instruction that read from an I/O port. The SMM handler must not restart an I/O instruction if the platform has not been configured to generate a synchronous SMI for the recorded I/O port address. 	  No Fix. 
  Writes to IA32_DEBUGCTL MSR May Fail When FREEZE_LBRS_ON_PMI Set  	  When the FREEZE_LBRS_ON_PMI, IA32_DEBUGCTL MSR (1D9h) bit [11], is set, future writes to the IA32_DEBUGCTL MSR may not occur in certain rare corner cases. Writes to this register by software or during certain processor operations are affected.  	  Under certain circumstances, the IA32_DEBUGCTL MSR value may not be updated properly and will retain the old value. Intel has not observed this erratum with any commercially available software.  	 Do not set the FREEZE_LBRS_ON_PMI bit of IA32_DEBUGCTL MSR. 	  No Fix. 
  Address Reported by Machine-Check Architecture (MCA) on L2 Cache Errors May Be Incorrect  	  When an L2 Cache error occurs (error code 010Ah or 110Ah reported in IA32_MCi_STATUS MSR bits [15:0]), the address is logged in the MCA address register (IA32_MCi_ADDR MSR). Under some scenarios, the address reported may be incorrect.  	  Software should not rely on the value reported in IA32_MCi_ADDR MSR for L2 Cache errors.  	 None identified. 	  No Fix. 
  Pending x87 FPU Exceptions (#MF) Following STI May Be Serviced Before Higher Priority Interrupts  	  Interrupts that are pending prior to the execution of the STI (Set Interrupt Flag) instruction are normally serviced immediately after the instruction following the STI. An exception to this is if the following instruction triggers a #MF. In this situation, the  Intel® Atom™ Processor E6xx Series 16  May 2012 Document Number: 324209-012   interrupt should be serviced before the #MF. Because of this erratum, if following STI, an instruction that triggers a #MF is executed while STPCLK#, Enhanced Intel SpeedStep® Technologyθ transitions or Intel® Thermal Monitor events occur, the pending #MF may be serviced before higher priority interrupts. 	  Software may observe #MF being serviced before higher priority interrupts.  	 None identified. 	  No Fix. 
  Benign Exception After Double Fault May Not Cause Triple Fault Shutdown  	  According to the Intel® 64 and IA-32 Architectures Software Developer’s Manual, Volume 3A, “Exception and Interrupt Reference,” if another exception occurs while attempting to call the double fault handler, the processor enters shutdown mode. Due to this erratum, any benign faults while attempting to call the double fault handler will not cause a shutdown. However, Contributory Exceptions and Page Faults will continue to cause a triple fault shutdown.  	  If a benign exception occurs while attempting to call the double fault handler, the processor may hang or may handle the benign exception. Intel has not observed this erratum with any commercially available software.  	 None identified. 	  No Fix. 
  IA32_MC1_STATUS MSR Bit [60] Does Not Reflect Machine Check Error Reporting Enable Correctly  	  IA32_MC1_STATUS MSR (405h) bit [60] (EN - Error Enabled) is supposed to indicate whether the enable bit in the IA32_MC1_CTL MSR (404h) was set at the time of the last update to the IA32_MC1_STATUS MSR. Due to this erratum, IA32_MC1_STATUS MSR bit [60] instead reports the current value of the IA32_MC1_CTL MSR enable bit.  	  IA32_MC1_STATUS MSR bit [60] may not reflect the correct state of the enable bit in the IA32_MC1_CTL MSR at the time of the last update.  	 None identified. 	  No Fix. 
  If Two Logical Processors Use Same CR3 Value but Configure APIC Virtualization Differently, Either May Operate as if APIC Virtualization Were Disabled  	  If a logical processor is in VMX non-root operation with the “virtual APIC accesses” VMexecution control set to 1, it may incorrectly operate as if the “virtual APIC accesses” VM-execution control was cleared to 0 if another logical processor has the same value in CR3 and one of the following is true: • The other logical processor is not in VMX non-root operation. • The other logical processor has the “virtual APIC accesses” VM-execution control cleared to 0. • The other logical processor’s value of the “APIC-access address” VM-execution control field is different than that of the first logical processor.  	  A logical processor may fail to support the APIC-virtualization features properly if a virtual-machine monitor (VMM) uses the same page tables as a virtual machine (VM) using the APIC-virtualization features, or if two VMs (or two virtual CPUs within a VM) use the same page tables but operate with different settings of the APIC-virtualization features.  May 2012 Document Number: 324209-012  Intel® Atom™ Processor E6xx Series 17   	 A VMM should not use for itself the same page tables as a VM using the APICvirtualization features, and it should configure two virtual CPUs to use the same page tables only if they use the same settings of the APIC-virtualization features. 	  No Fix. 
  VM Exit Due to Fault While Delivering Software Interrupt May Save Incorrect Data Into VMCS  	  If a fault occurs during delivery of a software interrupt (INTn) in virtual-8086 mode when virtual mode extensions are in effect and that fault causes a VM exit, incorrect data may be saved into the VMCS. Specifically, information about the software interrupt may not be reported in the IDT-vectoring information field. In addition, the interruptibility-state field may indicate blocking by STI or by MOV SS if such blocking were in effect before execution of the INTn instruction or before execution of the VMentry instruction that injected the software interrupt.  	  In general, VMM software that follows the guidelines given in the section “Handling VM Exits Due to Exceptions” of the Intel® 64 and IA-32 Architectures Software Developer's Manual Volume 3B: System Programming Guide should not be affected. If the erratum improperly causes indication of blocking by STI or by MOV SS, the ability of a VMM to inject an interrupt may be delayed by one instruction.  	 VMM software should follow the guidelines given in the section “Handling VM Exits Due to Exceptions” of the Intel® 64 and IA-32 Architectures Software Developer's Manual Volume 3B: System Programming Guide. 	  No Fix. 
  VM Exit Occurring in IA-32e Mode May Not Produce VMX Abort When Expected  	  If a VM exit occurs while the processor is in IA-32e mode and the “host address-space size” VM-exit control is 0, a VMX abort should occur. Due to this erratum, the expected VMX aborts may not occur and instead the VM Exit will occur normally. The conditions required to observe this erratum are a VM entry that returns from SMM with the “IA32e guest” VM-entry control set to 1 in the SMM VMCS and the “host address-space size” VM-exit control cleared to 0 in the executive VMCS.  	  A VM exit will occur when a VMX abort was expected.  	 An SMM VMM should always set the “IA-32e guest” VM-entry control in the SMM VMCS to be the value that was in the LMA bit (IA32_EFER.LMA.LMA[bit 10]) in the IA32_EFER MSR (C0000080h) at the time of the last SMM VM exit. If this guideline is followed, that value will be 1 only if the “host address-space size” VM-exit control is 1 in the executive VMCS. 	  No Fix. 
  Performance Monitoring Event for Outstanding Bus Requests Ignores AnyThread Bit  	  The Performance Monitoring Event of Outstanding Bus Requests will ignore the AnyThread bit (IA32_PERFEVTSEL0 MSR (186h)/IA32_PERFEVTSEL1 MSR (187h) bit [21]) and will instead always count all transactions across all logical processors, even when AnyThread is clear.  	  The performance monitor count may be incorrect when counting only the current logical processor’s outstanding bus requests on a processor supporting Intel® HyperThreading Technologyα.  	 None identified. 	  No Fix.  Intel® Atom™ Processor E6xx Series 18  May 2012 Document Number: 324209-012  
  Thermal Interrupts Dropped During and While Exiting Deep PowerDown State  	  Thermal interrupts are ignored while the processor is in the Deep Power-Down State as well as during a small window of time while exiting from the Deep Power-Down State. During this window, if the PROCHOT signal is driven or the internal value of the sensor reaches the programmed thermal trip point, the associated thermal interrupt may be lost.  	  In the event of a thermal event while a processor is waking up from the Deep PowerDown State, the processor will initiate an appropriate throttle response. However, the associated thermal interrupt generated may be lost.  	 None identified. 	  No Fix. 
  Corruption of CS Segment Register During RSM While Transitioning From Real Mode to Protected Mode  	  During the transition from real mode to protected mode, if an SMI (System Management Interrupt) occurs between the MOV to CR0 that sets PE (Protection Enable, bit 0) and the first far JMP, the subsequent RSM (Resume from System Management Mode) may cause the lower two bits of CS segment register to be corrupted.  	  The corruption of the bottom two bits of the CS segment register will have no impact unless software explicitly examines the CS segment register between enabling protected mode and the first far JMP. The Intel® 64 and IA-32 Architectures Software Developer's Manual Volume 3A: System Programming Guide, Part 1, in the section titled “Switching to Protected Mode,” recommends the far JMP immediately follows the write to CR0 to enable protected mode. Intel has not observed this erratum with any commercially available software.  	 None identified. 	  No Fix. 
  Performance Monitoring Counter With AnyThread Bit Set May Not Count on Non-Active Thread  	  A performance counter with the AnyThread bit (IA32_PERFEVTSEL0 MSR (186h)/IA32_PERFEVTSEL1 MSR (187h) bit [21], IA32_FIXED_CTR_CTRL MSR (38Dh) bit [2] for IA32_FIXED_CTR0, bit [6] for IA32_FIXED_CTR1, bit [10] for IA32_FIXED_CTR2) set should count that event on all logical processors on that core. Due to this erratum, a performance counter on a logical processor which has requested to be placed in the Deep Power-Down State may not count events that occur on another logical processor.  	  The performance monitor count may be incorrect when the logical processor is asleep but still attempting to count another logical processor’s events. This will only occur on processors supporting Intel® Hyper-Threading Technologyα (Intel® HT Technologyα).  	 None identified. 	  No Fix. 
  GP and Fixed Performance Monitoring Counters With AnyThread Bit Set May Not Accurately Count Only OS or Only USR Events  	  A fixed or GP (general purpose) performance counter with the AnyThread bit (IA32_FIXED_CTR_CTRL MSR (38Dh) bit [2] for IA32_FIXED_CTR0, bit [6] for IA32_FIXED_CTR1, bit [10] for IA32_FIXED_CTR2; IA32_PERFEVTSEL0 MSR (186h)/IA32_PERFEVTSEL1 MSR (187h) bit [21]) set may not count correctly when  May 2012 Document Number: 324209-012  Intel® Atom™ Processor E6xx Series 19   counting only OS (ring 0) events or only USR (ring > 0) events. The counters will count correctly if they are counting both OS and USR events or if the AnyThread bit is clear. 	  A performance monitor counter may be incorrect when it is counting for all logical processors on that core and not counting at all privilege levels. This erratum will only occur on processors supporting multiple logical processors per core.  	 None identified. 	  No Fix. 
  PMI Request Not Generated on Counter Overflow if Its OVF Bit Already Set in IA32_PERF_GLOBAL_STATUS  	  If a performance counter overflows and software does not clear the corresponding OVF (overflow) bit in IA32_PERF_GLOBAL_STATUS MSR (38Eh), future overflows of that counter will not trigger PMI (Performance Monitoring Interrupt) requests.  	  If software does not clear the OVF bit corresponding to a performance counter, future counter overflows may not cause PMI requests.  	 Software should clear the IA32_PERF_GLOBAL_STATUS.OVF bit in the PMI handler. 	  No Fix. 
  Processor May Use Incorrect Translation if TLBs Contain Two Different Translations for Linear Address  	  The TLBs may contain both ordinary and large-page translations for a 4 kByte range of linear addresses. This may occur if software modifies a PDE (page-directory entry) that is marked present to set the PS bit (this changes the page size used for the address range). If the two translations differ with respect to page frame, permissions, or memory type, the processor may use a page frame, permissions, or memory type that corresponds to neither translation.  	  Due to this erratum, software may not function properly if it sets the PS flag in a PDE and also changes the page frame, permissions, or memory type for the linear addresses mapped through that PDE.  	 Software can avoid this problem by ensuring that the TLBs never contain both ordinary and large-page translations for a linear address that differ with respect to page frame, permissions, or memory type. 	  No Fix. 
  Write to APIC Register Sometimes May Appear to Have Not Occurred  	  With respect to the retirement of instructions, stores to the uncacheable memory based APIC register space are handled in a non-synchronized way. For example, if an instruction that masks the interrupt flag, for example, CLI, is executed soon after an uncacheable write to the Task Priority Register (TPR) that lowers the APIC priority, the interrupt masking operation may take effect before the actual priority has been lowered. This may cause interrupts whose priority is lower than the initial TPR, but higher than the final TPR, to not be serviced until the interrupt enabled flag is finally set, in other words, by an STI instruction. Interrupts will remain pending and are not lost.  	  In this example, the processor may allow interrupts to be accepted but may delay their service.  	 This non-synchronization can be avoided by issuing an APIC register read after the APIC register write. This will force the store to the APIC register before any subsequent instructions are executed. No commercial operating system is known to be impacted by this erratum. 	  No Fix.  Intel® Atom™ Processor E6xx Series 20  May 2012 Document Number: 324209-012  
  xTPR Update Transaction Cycle, if Enabled, May Be Issued to FSB After Processor Issued Stop-Grant Special Cycle  	  According to the FSB (Front Side Bus) protocol specification, no FSB cycles should be issued by the processor once a Stop-Grant special cycle has been issued to the bus. If xTPR update transactions are enabled by clearing the IA32_MISC_ENABLES[bit 23] at the time of Stop-Clock assertion, an xTPR update transaction cycle may be issued to the FSB after the processor has issued a Stop Grant Acknowledge transaction.  	  When this erratum occurs in systems using C-states C2 (Stop-Grant State) and higher, the result could be a system hang. 	NA	NA
 	NA	NA	NA	  No Fix. 
  Processor May Report #TS Instead of #GP Fault  	  A jump to a busy TSS (Task-State Segment) may cause a #TS (invalid TSS exception) instead of a #GP fault (general protection exception).  	  Operation systems that access a busy TSS may get an invalid TSS fault instead of a #GP fault. Intel has not observed this erratum with any commercially available software.  	 None identified. 	  No Fix. 
  Writing Local Vector Table (LVT) When Interrupt Pending May Cause Unexpected Interrupt  	  If a local interrupt is pending when the LVT entry is written, an interrupt may be taken on the new interrupt vector even if the mask bit is set.  	  An interrupt may immediately be generated with the new vector when a LVT entry is written, even if the new LVT entry has the mask bit set. If there is no Interrupt Service Routine (ISR) set up for that vector, the system will GP fault. If the ISR does not do an End of Interrupt (EOI), the bit for the vector will be left set in the in-service register and mask all interrupts at the same or lower priority.  	 Any vector programmed into an LVT entry must have an ISR associated with it, even if that vector was programmed as masked. This ISR routine must do an EOI to clear any unexpected interrupts that may occur. The ISR associated with the spurious vector does not generate an EOI; therefore, the spurious vector should not be used when writing the LVT. 	  No Fix. 
  MOV To/From Debug Registers Causes Debug Exception  	  When in V86 mode, if a MOV instruction is executed to/from debug registers, a generalprotection exception (#GP) should be generated. However, in the case when the general detect enable flag (GD) bit is set, the observed behavior is that a debug exception (#DB) is generated instead.  	  With debug-register protection enabled (in other words, the GD bit set), when attempting to execute a MOV on debug registers in V86 mode, a debug exception will be generated instead of the expected general-protection fault.  	 In general, operating systems do not set the GD bit when they are in V86 mode. The GD bit is generally set and used by debuggers. The debug exception handler should check that the exception did not occur in V86 mode before continuing. If the exception did occur in V86 mode, the exception may be directed to the general-protection exception handler. 	  No Fix.  May 2012 Document Number: 324209-012  Intel® Atom™ Processor E6xx Series 21  
  Using 2M/4M Pages When A20M# Asserted May Result in Incorrect Address Translations  	  An external A20M# pin if enabled forces address bit 20 to be masked (forced to zero) to emulate real-address mode address wraparound at 1 megabyte. However, if all of the following conditions are met, address bit 20 may not be masked. • Paging is enabled. • A linear address has bit 20 set. • The address references a large page. • A20M# is enabled.  	  When A20M# is enabled and an address references a large page, the resulting translated physical address may be incorrect. This erratum has not been observed with any commercially available operating system.  	 Operating systems should not allow A20M# to be enabled if the masking of address bit 20 could be applied to an address that references a large page. A20M# is normally only used with the first megabyte of memory. 	  No Fix. 
  Values for LBR/BTS/BTM Will Be Incorrect After Exit From SMM  	  After a return from SMM (System Management Mode), the processor will incorrectly update the LBR (Last Branch Record) and the BTS (Branch Trace Store), hence, rendering their data invalid. The corresponding data if sent out as a BTM on the system bus will also be incorrect. Note: This issue would only occur when one of the three above mentioned debug support facilities is used.  	  The value of the LBR, BTS, and BTM immediately after an RSM operation should not be used.  	 None identified. 	  No Fix. 
  Incorrect Address Computed for Last Byte of FXSAVE/FXRSTOR Image Leads to Partial Memory Update  	  A partial memory state save of the 512-byte FXSAVE image or a partial memory state restore of the FXRSTOR image may occur if a memory address exceeds the 64 kB limit while the processor is operating in 16-bit mode or if a memory address exceeds the 4 GB limit while the processor is operating in 32-bit mode.  	  FXSAVE/FXRSTOR will incur a #GP fault due to the memory limit violation as expected, but the memory state may be only partially saved or restored.  	 Software should avoid memory accesses that wrap around the respective 16-bit and 32-bit mode memory limits. 	  No Fix. 
  Thermal Interrupt Not Generated When Current Temperature Invalid  	  When the DTS (Digital Thermal Sensor) crosses one of its programmed thresholds it generates an interrupt and logs the event (IA32_THERM_STATUS MSR (019Ch) bits [9,7]). Due to this erratum, if the DTS reaches an invalid temperature (as indicated IA32_THERM_STATUS MSR bit [31]) it does not generate an interrupt even if one of the programmed thresholds is crossed and the corresponding log bits become set.  	  When the temperature reaches an invalid temperature the processor does not generate a thermal interrupt even if a programmed threshold is crossed.  	 None identified. 	  No Fix.  Intel® Atom™ Processor E6xx Series 22  May 2012 Document Number: 324209-012  
